70;REALIDADE;;;;;;;;;;;
2;VISC11;Crescimento;200;R$ 99,09;R$ 101,70;2,63%;R$ 522,00;2,05%;11,90%;12,21%;R$ 20.340,00;R$ 19.818,00
2;HSLG11;Cautela;150;R$ 75,48;R$ 75,17;-0,41%;-R$ 46,50;1,14%;9,74%;9,70%;R$ 11.275,50;R$ 11.322,00
2;VILG11;Cautela;150;R$ 80,10;R$ 91,65;14,42%;R$ 1.732,50;1,39%;8,13%;9,30%;R$ 13.747,50;R$ 12.015,00
2;RECR11;Cautela;400;R$ 81,14;R$ 75,44;-7,02%;-R$ 2.280,00;3,05%;14,51%;13,50%;R$ 30.176,00;R$ 32.456,00
0;Classe de Ativo;Risco do Ativo;Compras;Ativos;Preço com;P.Atual/P.Médio;Ganho/Perda;% na carteira;Dividend Yield (último 12 meses);;Saldo Total;Saldo Investido
0;ETFS;Qualificado;Realizadas;2;15min. atraso;4,34%;R$ 7.472,42;9,00%;valor atual;valor pago;R$ 89.194,26;R$ 81.721,84
11;Ativo;Risco;Adquirido;Preço Médio;Preço Atual;Variação;Representa;% na carteira;D.Y.;Yield on Cost;Saldo;Investido
2;IVVB11;ETF-USA;190;R$ 406,27;R$ 445,85;9,74%;R$ 7.520,20;8,55%;0,00%;0,00%;R$ 84.711,50;R$ 77.191,30
2;SPXB11;ETF-USA;0;R$ 0,00;R$ 17,41;0,00%;R$ 0,00;0,00%;5,74%;s/inf;R$ 0,00;R$ 0,00
2;NASD11;ETF-USA;0;R$ 0,00;R$ 21,03;0,00%;R$ 0,00;0,00%;9,51%;s/inf;R$ 0,00;R$ 0,00
2;WRLD11;ETF-USA;0;R$ 0,00;R$ 149,45;0,00%;R$ 0,00;0,00%;2,01%;s/inf;R$ 0,00;R$ 0,00
2;GOLD11;Res.Mercado;0;R$ 0,00;R$ 24,69;0,00%;R$ 0,00;0,00%;16,20%;s/inf;R$ 0,00;R$ 0,00
2;BTCBRL;Res.Mercado;0,01115883;R$ 406.004,90;R$ 401.723,00;-1,05%;-R$ 47,78;0,45%;0,00%;0,00%;R$ 4.482,76;R$ 4.530,54
0;Classe de Ativo;Risco do Ativo;Compras;Ativos;Preço com;P.Atual/P.Médio;Ganho/Perda;% na carteira;Dividend Yield (último 12 meses);;Saldo Total;Saldo Investido
0;BDRS;Qualificado;Realizadas;8;15min. atraso;11,27%;R$ 9.881,82;8,06%;valor atual;valor pago;R$ 79.867,68;R$ 69.985,86
11;Ativo;Risco;Adquirido;Preço Médio;Preço Atual;Variação;Representa;% na carteira;D.Y.;Yield on Cost;Saldo;Investido
2;NVDC34;Stocks;700;R$ 19,83;R$ 23,05;16,24%;R$ 2.254,00;1,63%;0,08%;0,10%;R$ 16.135,00;R$ 13.881,00
2;MSFT34;Stocks;245;R$ 88,72;R$ 103,59;16,76%;R$ 3.643,15;2,56%;0,77%;0,90%;R$ 25.379,55;R$ 21.736,40
2;GOGL34;Stocks;20;R$ 133,20;R$ 148,35;11,37%;R$ 303,00;0,30%;0,17%;0,19%;R$ 2.967,00;R$ 2.664,00
2;AMZO34;Stocks;170;R$ 59,93;R$ 66,59;11,11%;R$ 1.132,20;1,14%;0,00%;0,00%;R$ 11.320,30;R$ 10.188,10
2;AAPL34;Stocks;0;R$ 0,00;R$ 79,68;0,00%;R$ 0,00;0,00%;0,23%;s/inf;R$ 0,00;R$ 0,00
2;NFLX34;Stocks;500;R$ 7,63;R$ 8,16;6,95%;R$ 265,00;0,41%;0,00%;0,00%;R$ 4.080,00;R$ 3.815,00
2;JPMC34;Stocks;100;R$ 160,30;R$ 180,98;12,90%;R$ 2.068,00;1,83%;1,15%;1,30%;R$ 18.098,00;R$ 16.030,00
2;PGCO34;Stocks;3;R$ 52,72;R$ 53,01;0,55%;R$ 0,87;0,02%;2,02%;2,03%;R$ 159,03;R$ 158,16
