80;REALIDADE;;;;;;;;;;;;;;;
0;Carteira;;;;Patrimonio Total;(%) Patrimônio;;Investimento;Ganho de Capital;(%) Ganho;Ativos Investidos;;Total;;Em Oportunidade;
2;JPMC34;Stocks;1;1;R$ 160,30;14,55%;R$ 23,33;R$ 183,63;R$ 222,25;17,38%;0;R$ 0,00;R$ 160,30;R$ 0,00;14,55%;27,88%
2;PGCO34;Stocks;1;1;R$ 52,72;1,63%;R$ 0,86;R$ 53,58;R$ 67,56;20,69%;0;R$ 0,00;R$ 52,72;R$ 0,00;1,63%;21,97%
2;ATTB34;Stocks;1;1;R$ 37,83;16,71%;R$ 6,32;R$ 44,15;R$ 28,93;-52,60%;0;R$ 0,00;R$ 37,83;R$ 0,00;16,71%;-30,75%
2;EXXO34;Stocks;1;0;R$ 0,00;0,00%;R$ 0,00;R$ 103,90;R$ 115,77;10,25%;0;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;0,00%
0;Classe de Ativo;Risco do Ativo;Cálculo;Compras;Ativos;(PM/PA);Ganho/Perda;Valuation;;;Simule a compra;Total Investido;Ativos;Preço Alvo;Margem Segurança;
0;RF;Qualificado;Patrimônio;Realizadas;5;10,57%;R$ 28,15;Títulos Públicos Soberano;;;Aqui;R$ 0,00;0;Chegou;(PM/PA);(PM/PT)
11;Ativo;Risco;Desejado;Adquirido;Preço Médio;Variação;ganho/perda;Preço Atual;Preço Teto;TEC;Comprar;Investi/o;Novo (PM);Avisar;Variação;upside
2;IPCA+2029;Inflação BR;0,05;0,01;R$ 3.389,94;12,96%;R$ 4,39;R$ 3.829,37;R$ 4.077,81;14,00%;0;R$ 0,00;R$ 3.389,94;R$ 0,00;12,96%;16,87%
2;IPCA+2040;Inflação BR;0,12;0,03;R$ 1.600,35;6,09%;R$ 2,92;R$ 1.697,78;R$ 1.935,61;14,00%;0;R$ 0,00;R$ 1.600,35;R$ 0,00;6,09%;17,32%
2;IPCA+2050;Inflação BR;0,23;0,00;R$ 0,00;0,00%;R$ 0,00;R$ 864,30;R$ 1.013,46;14,00%;0;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;0,00%
2;Renda+2065;Inflação BR;1,12;0,00;R$ 0,00;0,00%;R$ 0,00;R$ 178,98;R$ 207,79;14,00%;0;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;0,00%
2;Prefixado2028;Prefixado BR;0,34;0,08;R$ 717,32;16,28%;R$ 9,34;R$ 834,09;R$ 894,32;14,00%;0;R$ 0,00;R$ 717,32;R$ 0,00;16,28%;19,79%
2;Prefixado2029;Prefixado BR;0,38;0,00;R$ 0,00;0,00%;R$ 0,00;R$ 730,89;R$ 808,26;14,00%;0;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;0,00%
2;Prefixado2032;Prefixado BR;0,50;0,12;R$ 423,46;13,83%;R$ 7,03;R$ 482,02;R$ 534,50;14,00%;0;R$ 0,00;R$ 423,46;R$ 0,00;13,83%;20,77%
2;CDB100%DI;Pós-Fixado BR;200;0;R$ 0,00;0,00%;R$ 0,00;R$ 1,00;R$ 1,14;14,00%;0;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;0,00%
2;LFTB11;Pós-Fixado BR;2;1;R$ 121,20;3,68%;R$ 4,46;R$ 125,66;R$ 131,90;14,00%;0;R$ 0,00;R$ 121,20;R$ 0,00;3,68%;8,11%
2;TFLO;Pós-Fixado USA;0,00;0,00;R$ 0,00;0,00%;R$ 0,00;R$ 260,67;R$ 271,65;4,50%;0;R$ 0,00;R$ 0,00;R$ 0,00;0,00%;0,00%
