;;;;DESEJADO;;
0;;;;Variação;Ativos;% na carteira;Valor Total;
0;FIIS (CRESCIMENTO);;;-3,40%;4;9,66%;R$ 416,20;
1;Ativo;Quant.;Preço Médio;Variação;Representa;% na carteira;Saldo;
2;GARE11;15;R$ 8,62;-5,22%;-R$ 6,75;2,84%;R$ 122,55;
2;PMLL11;1;R$ 103,88;-3,25%;-R$ 3,38;2,33%;R$ 100,50;
2;XPLG11;1;R$ 99,16;-9,33%;-R$ 9,25;2,09%;R$ 89,91;
2;VISC11;1;R$ 99,09;4,19%;R$ 4,15;2,40%;R$ 103,24;
0;;;;Variação;Ativos;% na carteira;Valor Total;
0;FIIS (RISCO);;;5,55%;3;7,53%;R$ 324,53;
1;Ativo;Quant.;Preço Médio;Variação;Representa;% na carteira;Saldo;
2;HSLG11;1;R$ 75,48;11,49%;R$ 8,67;1,95%;R$ 84,15;
2;VILG11;1;R$ 80,10;12,66%;R$ 10,14;2,09%;R$ 90,24;
2;RECR11;2;R$ 81,14;-7,48%;-R$ 12,14;3,48%;R$ 150,14;
0;;;;Variação;Ativos;% na carteira;Valor Total;
0;ETFS;;;4,28%;4;8,15%;R$ 351,40;
1;Ativo;Quant.;Preço Médio;Variação;Representa;% na carteira;Saldo;
2;IVVB11;0;R$ 0,00;0,00%;R$ 0,00;0,00%;R$ 0,00;
2;SPXB11;20;R$ 15,00;17,13%;R$ 51,40;8,15%;R$ 351,40;
2;NASD11;0;R$ 0,00;0,00%;R$ 0,00;0,00%;R$ 0,00;
2;WRLD11;0;R$ 0,00;0,00%;R$ 0,00;0,00%;R$ 0,00;
0;;;;Variação;Ativos;% na carteira;Valor Total;
0;ETFS (RES. MERCADO);;;-9,55%;2;0,76%;R$ 32,84;
1;Ativo;Quant.;Preço Médio;Variação;Representa;% na carteira;Saldo;
2;GOLD11;0;R$ 0,00;0,00%;R$ 0,00;0,00%;R$ 0,00;
2;BTCBRL;0,00010000;R$ 406.004,90;-19,10%;-R$ 7,76;0,76%;R$ 32,84;
0;;;;Variação;Ativos;% na carteira;Valor Total;
0;BDRS;;;9,78%;10;16,81%;R$ 724,51;
1;Ativo;Quant.;Preço Médio;Variação;Representa;% na carteira;Saldo;
2;NVDC34;3;R$ 19,83;17,65%;R$ 10,50;1,62%;R$ 69,99;
2;MSFT34;1;R$ 88,72;21,73%;R$ 19,28;2,51%;R$ 108,00;
